"table_schema","table_name","ordinal_position","column_name","data_type","udt_name","is_nullable","column_default","constraint_type","foreign_table_schema","foreign_table_name","foreign_column_name"
"audit","audit_log",1,"id","bigint","int8","NO","nextval('audit.audit_log_id_seq'::regclass)","PK","audit","audit_log","id"
"audit","audit_log",2,"occurred_at","timestamp with time zone","timestamptz","YES","CURRENT_TIMESTAMP","",NULL,NULL,NULL
"audit","audit_log",3,"schema_name","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",4,"table_name","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",5,"action","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",6,"pk","jsonb","jsonb","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",7,"row_before","jsonb","jsonb","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",8,"row_after","jsonb","jsonb","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",9,"changed_fields","jsonb","jsonb","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",10,"actor_user_id","integer","int4","YES",NULL,"FK",NULL,NULL,NULL
"audit","audit_log",11,"actor","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",12,"ingest_event_id","integer","int4","YES",NULL,"FK",NULL,NULL,NULL
"audit","audit_log",13,"request_id","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",14,"txid","bigint","int8","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",15,"application_name","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"audit","audit_log",16,"client_addr","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"core","app_users",1,"id","integer","int4","NO",NULL,"PK","core","app_users","id"
"core","app_users",2,"email","character varying","varchar","YES",NULL,"","core","app_users","email"
"core","app_users",3,"nombre","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"core","app_users",4,"is_active","boolean","bool","YES","true","",NULL,NULL,NULL
"core","app_users",5,"created_at","timestamp with time zone","timestamptz","YES","CURRENT_TIMESTAMP","",NULL,NULL,NULL
"core","app_users",6,"updated_at","timestamp with time zone","timestamptz","YES",NULL,"",NULL,NULL,NULL
"core","assets",1,"id","integer","int4","NO",NULL,"PK","core","assets","id"
"core","assets",2,"alias","character varying","varchar","YES",NULL,"","core","assets","alias"
"core","assets",3,"tipo_activo_id","integer","int4","YES",NULL,"FK","core","dim_type_assets","id"
"core","assets",4,"is_active","boolean","bool","YES","true","",NULL,NULL,NULL
"core","assets_vehicles",1,"activo_id","integer","int4","NO",NULL,"FK","core","assets","id"
"core","assets_vehicles",1,"activo_id","integer","int4","NO",NULL,"PK","core","assets_vehicles","activo_id"
"core","assets_vehicles",2,"patente","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"core","assets_vehicles",3,"tipo","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"core","assets_vehicles",4,"marca","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
"core","assets_vehicles",5,"modelo","character varying","varchar","YES",NULL,"",NULL,NULL,NULL
